Gesture, CircleWithCross
Stroke
0.07968935, 0.488064, 0
-0.09464985, 0.4444793, 0
-0.2422648, 0.361064, 0
-0.3494663, 0.2263711, 0
-0.4009869, 0.0588942, 0
-0.3913252, -0.1212981, 0
-0.3599241, -0.2912489, 0
-0.2192432, -0.3890398, 0
-0.05378054, -0.4621092, 0
0.1214683, -0.5046896, 0
0.3004081, -0.4936148, 0
0.4448715, -0.3889559, 0
0.5356015, -0.2329621, 0
0.5700278, -0.0550978, 0
0.5432821, 0.1240316, 0
0.4668085, 0.2883305, 0
0.3228112, 0.3936158, 0
0.1544538, 0.4591169, 0
-0.02165693, 0.4759869, 0
-0.1121591, 0.341158, 0
-0.08228935, 0.1839308, 0
0.03965209, 0.04949311, 0
0.1476778, -0.09338713, 0
0.2498962, -0.2315766, 0
0.3065, -0.2426288, 0
0.3186665, -0.06013052, 0
0.330833, 0.1223678, 0
0.3170193, 0.2423022, 0
0.1737677, 0.1327425, 0
0.04828855, 0.01029965, 0
-0.05711917, -0.1274417, 0
-0.1497791, -0.2462355, 0
