Gesture, CircleWithCross
0.05753949, 0.4966111, 0
-0.07299677, 0.4643736, 0
-0.1939479, 0.3954421, 0
-0.3044475, 0.3019377, 0
-0.3848045, 0.1824517, 0
-0.4238992, 0.03845944, 0
-0.4301732, -0.1151618, 0
-0.4192982, -0.2680499, 0
-0.3731925, -0.4050902, 0
-0.2569504, -0.4822497, 0
-0.1068384, -0.5033889, 0
0.0481244, -0.5033889, 0
0.1948273, -0.4810587, 0
0.3312268, -0.4244085, 0
0.4261596, -0.314958, 0
0.4936311, -0.1831906, 0
0.5085028, -0.0339729, 0
0.4741411, 0.1133133, 0
0.4282476, 0.2544474, 0
0.342498, 0.3635837, 0
0.2197798, 0.4361196, 0
0.08559678, 0.4833785, 0
-0.07041334, 0.04363198, 1
0.03211275, -0.06907657, 1
0.1313472, -0.1858923, 1
0.2243796, -0.2997187, 1
0.04500383, 0.02511597, 2
-0.05706833, -0.08183885, 2
-0.1496, -0.1925699, 2
-0.2260119, -0.2841072, 2
